brand_name,url_string
UNMATCHED,UNMATCHED
Fairfield Inn & Suites,www.marriott.com/fairfield-inn/travel.mi
L.K. Bennett,lkbennett.com
Hakle,www.hakle.de/
Honey Brown,www.honeybrownlager.com/#
Quaker Oats,www.quakeroats.com/home.aspx
Secret,www.secret.com/
Arrid,www.arrid.com
Jaquet Droz,www.jaquet-droz.com/
Fritos,www.fritolay.com/our-snacks/fritos.html
Sinful Colors,www.sinfulcolors.com/
Jumeirah,jumeirah.com
Waldorf-Astoria Hotels & Resorts,waldorfastoria3.hilton.com/en/index.html
Sergio Rossi,sergiorossi.com
Dr. Brandt,www.drbrandtskincare.com/
Maybelline New York,maybelline.com
Viktor & Rolf,www.viktor-rolf.com/
Theory,theory.com
Thomas Pink,thomaspink.com
Yves Saint Laurent Beauty,yslbeautyus.com
Tod's,tods.com
Bath & Body Works,bathandbodyworks.com
Toyota,www.toyota.com/
Lush,lush.com
Vacheron Constantin,vacheron-constantin.com
Givenchy,givenchy.com
Van Cleef & Arpels,vancleefarpels.com
Versace,versace.com
Aveda,Aveda.com
Volkswagen,www.volkswagen.com/
Clinique,clinique.com
Williams-Sonoma,williams-sonoma.com
Elizabeth Arden,ElizabethArden.com
YOOX,yoox.com
Zales,zales.com
Estee Lauder,esteelauder.com
Zara,zara.com
L'OCCITANE en Provence,usa.loccitane.com
Origins,www.origins.com/index.tmpl
Daslu,daslu.com.br
SK-II,www.sk-ii.com/
Harvey Nichols,harveynichols.com
Marks & Spencer,marksandspencer.com
American Eagle Outfitters,ae.com
American Apparel,americanapparel.net
BCBG Max Azria,bcbg.com
Express,express.com
Gap,gap.com
Guess,shop.guess.com
Officine Panerai,panerai.com
Nine West,ninewest.com
Steve Madden,stevemadden.com
Tumi,tumi.com
Jean Paul Gaultier,www.jeanpaulgaultier.com/
Tourneau,www.tourneau.com/
H&M,hm.com
Uniqlo,uniqlo.com
Aeropostale,aeropostale.com
Nivea,niveausa.com
J.Crew,jcrew.com
JCPenney,www.jcpenney.com
Patagonia,www.patagonia.com/
Quiksilver ,www.quiksilver.com/
Reebok,www.reebok.com/
Saucony,www.saucony.com/
Bumble and Bumble,www.bumbleandbumble.com/
Teva,www.teva.com/
The North Face,www.thenorthface.com/
Timberland,www.timberland.com/
Ugg,www.uggaustralia.com/
Under Armour,www.uamtn.com/
Vans,www.vans.com/
Volcom,www.volcom.com/
Arc'teryx,www.arcteryx.com/
Carol's Daughter,carolsdaughter.com
Athleta,www.athleta.com/
Billabong,www.billabong.com/
Brooks,www.brooksrunning.com/
Burton,www.burton.com/
Vineyard Vines,vineyardvines.com
Columbia Sportswear,www.columbia.com
Converse,www.converse.com/
Danskin,www.danskin.com/
Fila,www.fila.com/
Philosophy,philosophy.com
Hurley,www.hurley.com/
L.L.Bean,www.llbean.com/
New Balance,www.newbalance.com/
Eddie Bauer,www.eddiebauer.com/
Merrell,www.merrell.com/
Mizuno,www.mizunousa.com/
Rimmel London,us.rimmellondon.com
Speedo,www.speedousa.com/home/index.jsp
Speedo USA,www.speedousa.com/
Godiva Chocolatier,godiva.com
Talbots,talbots.com
Conrad Hotels & Resorts,conradhotels3.hilton.com
InterContinental Hotels & Resorts,intercontinental.com
Marriott Hotels,www.marriott.com/marriott-hotels-resorts/travel.mi
Cetaphil,cetaphil.com
St. Regis Hotels & Resorts,starwoodhotels.com/stregis/index.html
Swissotel Hotels & Resorts,www.swissotel.com/
Celine,celine.com
Emilio Pucci,emiliopucci.com
Breguet,www.breguet.com/
Tissot,www.tissot.ch/
Hamilton,www.hamiltonwatch.com/
Fred,www.fred.com/
Graff,www.graffdiamonds.com/
Proactiv,proactiv.com
Corum,www.corum.ch/
Bell & Ross,www.bellross.com/
Pequignet,www.pequignet.com/
Ebel,www.ebel.com/
