brand_name,url_string,category_name
"Hawaiian Tropic",www.hawaiiantropic.com/,None
"Rihanna Fragrances",www.perfumesbyrihanna.com/,None
Remington,www.remingtonproducts.com/,None
LR,lrworld.com,None
"The Central Intelligence Agency (CIA)",www.cia.gov,None
Decleor,www.decleor.co.uk/,None
"Katy Perry Fragrances",www.katyperryfragrances.com/,None
Worthington's,www.worthingtonsale.com,None
PINK,pink.victoriassecret.com/,None
"Joe's Jeans",www.joesjeans.com/,None
"Dark and Lovely",www.softsheen-carson.com/_us/_en/dark-and-lovely/,None
"Thomas Pink",thomaspink.com,Retail
"Bath & Body Works",bathandbodyworks.com,Retail
Lush,lush.com,Retail
Williams-Sonoma,williams-sonoma.com,Retail
YOOX,yoox.com,Retail
Zales,zales.com,Retail
Zara,zara.com,Retail
Daslu,daslu.com.br,Retail
"Harvey Nichols",harveynichols.com,Retail
"Marks & Spencer",marksandspencer.com,Retail
"American Eagle Outfitters",ae.com,Retail
"American Apparel",americanapparel.net,Retail
"BCBG Max Azria",bcbg.com,Retail
Express,express.com,Retail
Gap,gap.com,Retail
Guess,shop.guess.com,Retail
"Nine West",ninewest.com,Retail
"Steve Madden",stevemadden.com,Retail
Tumi,tumi.com,Retail
Tourneau,www.tourneau.com/,Retail
H&M,hm.com,Retail
Uniqlo,uniqlo.com,Retail
Aeropostale,aeropostale.com,Retail
J.Crew,jcrew.com,Retail
JCPenney,www.jcpenney.com,Retail
"Godiva Chocolatier",godiva.com,Retail
Talbots,talbots.com,Retail
"The Body Shop",thebodyshop-usa.com,Retail
"Free People",freepeople.com,Retail
"Forever 21",www.forever21.com/Product/Main.aspx?br=f21,Retail
"Rag & Bone",rag-bone.com/,Retail
"Best Buy",www.bestbuy.com,Retail
Diesel,diesel.com,Retail
Lacoste,www.lacoste.com,Retail
"buybuy BABY",www.buybuybaby.com,Retail
"Ann Taylor",anntaylor.com,Retail
"Banana Republic",bananarepublic.com,Retail
Swatch,swatch.com,Retail
Walmart,www.walmart.com,Retail
Esprit,esprit.com,Retail
Gymboree,gymboree.com,Retail
"Lord & Taylor",www.lordandtaylor.com/webapp/wcs/stores/servlet/en/lord-and-taylor,Retail
"Victoria's Secret",victoriassecret.com,Retail
"Urban Outfitters",urbanoutfitters.com,Retail
Desigual,www.desigual.com/en_US,Retail
Nordstrom,shop.nordstrom.com,Retail
"French Connection",usa.frenchconnection.com,Retail
"Pottery Barn",shopbop.com,Retail
"White House | Black Market",whitehouseblackmarket.com,Retail
"Neiman Marcus",neimanmarcus.com,Retail
"Saks Fifth Avenue",saksfifthavenue.com,Retail
Macy's,macys.com,Retail
ASOS,asos.com,Retail
IKEA,ikea.com,Retail
"Abercrombie & Fitch",abercrombie.com,Retail
"Crate & Barrel",crateandbarrel.com,Retail
Shopbop,potterybarn.com,Retail
hhgregg,www.hhgregg.com,Retail
"Fry's Electronics",www.frys.com,Retail
Cabela's,www.cabelas.com/,Retail
Topshop,topshop.com,Retail
"Galeries Lafayette",galerieslafayette.com,Retail
Anthropologie,anthropologie.com,Retail
"Brooks Brothers",brooksbrothers.com,Retail
"Stuart Weitzman",stuartweitzman.com,Retail
Harrods,harrods.com,Retail
Selfridges,selfridges.com,Retail
"West Elm",westelm.com,Retail
"7 For All Mankind",7Forallmankind.com,Retail
"A|X Armani Exchange",armaniexchange.com,Retail
Aldo,aldo.com,Retail
"Bergdorf Goodman",bergdorfgoodman.com,Retail
Bloomingdale's,bloomingdales.com,Retail
"Blue Nile",bluenile.com,Retail
CB2,cb2.com,Retail
Chico's,chicos.com,Retail
"John Lewis",johnlewis.com,Retail
"Club Monaco",clubmonaco.com,Retail
"El Corte Ingles",elcorteingles.es,Retail
"Ethan Allen",ethanallen.com,Retail
"Galleria Department Store",galleria.co.kr,Retail
"Office Depot",www.officedepot.com,Retail
"Home Depot",www.homedepot.com,Retail
"House of Fraser",houseoffraser.co.uk,Retail
"Juicy Couture ",juicycouture.com,Retail
"Kenneth Cole",kennethcole.com,Retail
LOFT,www.loft.com/,Retail
"Lucky Brand",luckybrand.com,Retail
"Lululemon Athletica",www.lululemon.com,Retail
"El Palacio de Hierro",elpalaciodehierro.com.mx,Retail
"Alex and Ani",www.alexandani.com/,Retail
Net-A-Porter,net-a-porter.com,Retail
Sephora,sephora.com,Retail
"Barneys New York",barneys.com,Retail
REI,www.rei.com/,Retail
Kroger,www.kroger.com,Retail
Walgreens,walgreens.com,Retail
Reitmans,www.reitmans.com/,Retail
"Academy Sports + Outdoors",www.academy.com,Retail
"Vince Camuto",vincecamuto.com,Retail
Liberty,liberty.co.uk,Retail
"Harry Rosen",www.harryrosen.com/,Retail
Menards,www.menards.com,Retail
"Roots Canada",canada.roots.com/,Retail
"BJ's Wholesale Club",www.BJs.com,Retail
"Sam's Club",www.samsclub.com,Retail
"True Value",www.truevalue.com,Retail
"Petco Animal Supplies",www.petco.com,Retail
Belk,www.belk.com,Retail
Shinsegae,www.shinsegae.com/,Retail
"Trader Joe's",www.traderjoes.com,Retail
"Hudson's Bay",www.thebay.com/webapp/wcs/stores/servlet/en/thebay#!/,Retail
Publix,www.publix.com,Retail
Shopko,www.shopko.com,Retail
PetSmart,www.petsmart.com/,Retail
"Lane Crawford",www.lanecrawford.com/,Retail
"Jo-Ann Stores",www.joann.com,Retail
"Famous Footwear",www.famousfootwear.com,Retail
"Hobby Lobby",www.hobbylobby.com,Retail
Target,www.target.com/,Retail
"Rite Aid",www.riteaid.com,Retail
Decathlon,www.decathlon.de/,Retail
"Duluth Trading Company",www.duluthtrading.com/,Retail
OfficeMax,www.officemax.com,Retail
"Kay Jewelers",kay.com,Retail
RadioShack,www.radioshack.com,Retail
"Sports Authority",www.sportsauthority.com,Retail
"Destination Maternity ",destinationmaternity.com,Retail
"Big Lots",www.biglots.com,Retail
Kmart,www.Kmart.com,Retail
Toys'r'us,www.toysrus.com/shop/index.jsp?categoryId=2255956,Retail
"Burlington Coat Factory",www.burlingtoncoatfactory.com,Retail
"Value Retail",www.chicoutletshopping.com/en/home/home,Retail
Winners,www.winners.ca/en/index.asp,Retail
"Cost Plus World Market",www.worldmarket.com,Retail
Dillard's,dillards.com,Retail
Eastbay,www.eastbay.com/,Retail
GUM,gum.ru,Retail
HomeGoods,www.homegoods.com,Retail
Ulta,ulta.com,Retail
"Maison Birks",www.birks.com/,Retail
Meijer,www.meijer.com,Retail
"Bed Bath & Beyond",www.bedbathandbeyond.com,Retail
Mark's,www.marks.com/,Retail
"Stop & Shop",www.stopandshop.com,Retail
Kohl's,www.kohls.com,Retail
"Family Dollar",www.familydollar.com,Retail
"Container Store",www.containerstore.com,Retail
"Dollar General",www.dollargeneral.com,Retail
Fenwick,fenwick.co.uk,Retail
Ross,www.rossstores.com,Retail
"Dicks Sporting Goods",www.dickssportinggoods.com,Retail
"Holt Renfrew",holtrenfrew.com,Retail
"de Bijenkorf",debijenkorf.nl,Retail
"Ace Hardware",www.acehardware.com,Retail
"Dollar Tree",www.dollartree.com,Retail
Albertsons,www.albertsons.com,Retail
Carhartt,www.carhartt.com,Retail
Marshall's,www.marshallsonline.com,Retail
Sears,www.sears.com/,Retail
"TJ Maxx",tjmaxx.com,Retail
" eliminate (erroneous addition)",www.cvs.com/shop,Retail
"DSW Stores",www.dsw.com,Retail
"True Religion",www.truereligion.com/,Retail
"Michaels Stores",www.michaels.com,Retail
"Restoration Hardware",restorationhardware.com,Retail
Bon-Ton,bonton.com,Retail
Safeway,www.safeway.com,Retail
"Pier 1 Imports",www.pier1.com,Retail
"Whole Foods",www.wholefoodsmarket.com,Retail
"Honey Brown",www.honeybrownlager.com/#,Drinks
Courvoisier,courvoisier.com,Drinks
"Bombay Sapphire",www.bombaysapphire.com/,Drinks
Beefeater,www.beefeatergin.com/,Drinks
"Bud Light",www.budlight.com/,Drinks
Budweiser,www.budweiser.com/,Drinks
Corona,www.coronaextra.co.uk,Drinks
Heineken,www.heineken.com/,Drinks
"Coors Light",coorslight.com/,Drinks
"Miller Lite",www.millerlite.com/,Drinks
"Stella Artois",www.stellaartois.com/,Drinks
"Labatt Blue",www.labattus.com/,Drinks
"Leinenkugel Original Premium",leinie.com/,Drinks
"Molson Canadian",www.molsoncanadian.ca/en/Index.aspx,Drinks
"Natural Light",naturallight.com/,Drinks
"Rolling Rock",doingourthing.com/,Drinks
"Samuel Adams",www.samueladams.com/,Drinks
"Shiner Bock",www.shiner.com/,Drinks
"Sierra Nevada",www.sierranevada.com/,Drinks
Widmer,widmerbrothers.com/,Drinks
"Blue Moon Beer",bluemoonbrewingcompany.com,Drinks
Coors,www.coors.com/,Drinks
"Dos Equis",dosequis.com/,Drinks
"New Belgium",www.newbelgium.com/Home.aspx,Drinks
Guinness,www.guinness.com/,Drinks
"Gordon Biersch",www.gordonbiersch.com/,Drinks
"Chivas Regal",www.chivas.com/,Drinks
Belvedere,www.belvederevodka.com/,Drinks
"Vita Coco",vitacoco.com/,Drinks
Glenmorangie,glenmorangie.com,Drinks
Schell's,www.schellsbrewery.com/home.php,Drinks
"Cold Spring",coldspringbrewery.com/,Drinks
Uinta,www.uintabrewing.com/,Drinks
NOS,www.drinknos.com/,Drinks
Ciroc,www.ciroc.com/,Drinks
Founders,foundersbrewing.com/,Drinks
"Brooklyn Brewery",brooklynbrewery.com/,Drinks
Harpoon,www.harpoonbrewery.com/,Drinks
"Oskar Blues",oskarblues.com/,Drinks
Firestone,www.firestonebeer.com/,Drinks
Stone,www.stonebrew.com/,Drinks
"Sierra Mist",www.sierramist.com/,Drinks
"Mountain Dew",www.mountaindew.com/,Drinks
Crystal,www.cervejacrystal.com.br/,Drinks
"Olde Saratoga",www.oldesaratogabrew.com/,Drinks
"Dr. Pepper",www.drpepper.com/,Drinks
Enervit,www.enervit.com/,Drinks
Aperol,www.aperol.com,Drinks
"Rock Bottom",www.rockbottom.com/,Drinks
"Third Street Brewhouse",www.thirdstreetbrewhouse.com/,Drinks
Boulevard,www.boulevard.com/,Drinks
Lucozade,www.lucozade.com/,Drinks
"Dogfish Head",www.dogfish.com/,Drinks
"S. Pellegrino",www.sanpellegrino.com,Drinks
Shipyard,www.shipyard.com/,Drinks
"Nova Schin",www.novaschin.com/,Drinks
Troegs,www.troegs.com/,Drinks
"Deschutes Brewery",www.deschutesbrewery.com/,Drinks
"Lost Coast",www.lostcoast.com/,Drinks
Mendocino,www.mendobrew.com/home.html,Drinks
"Mezzo Mix",www.mezzomix.de/,Drinks
Odell,odellbrewing.com/,Drinks
"Saint Arnold",www.saintarnold.com/,Drinks
Energade,www.energade.co.za/,Drinks
"New Glarus",www.newglarusbrewing.com/,Drinks
"Shock Top",www.shocktopbeer.com/,Drinks
Orangina,www.orangina.eu/,Drinks
"Pilsen Callao",www.pilsencallao.com.pe/,Drinks
Victoria,www.cervezavictoria.es/,Drinks
"La Casera",www.lacasera.es/,Drinks
"I.C. Light",www.pittsburghbrewing.com/brands/#ic-light,Drinks
"Diet Coke",www.dietcoke.com/,Drinks
"Flying Dog",flyingdogales.com/,Drinks
"Dark Dog",www.darkdog-energydrink.com/,Drinks
Sprite,www.sprite.com/,Drinks
Schlafly,www.schlafly.com,Drinks
Kingfisher,www.kingfisherworld.com/,Drinks
"Effect Energy",www.effect-energy.com/,Drinks
"Faxe Kondi",kondi.like.st/faxekondi/faxekondi/image_poll/website,Drinks
Emerge,www.emergestimulation.com/,Drinks
"Grain Belt",www.grainbelt.com/home.php,Drinks
"Rockstar Energy",rockstarenergy.com/,Drinks
Kaiser,www.kaiser.com.br//,Drinks
Dundee,www.dundeebeer.com/,Drinks
"Karl Strauss",www.karlstrauss.com/,Drinks
